ANTIG PVENTA SUP
18 81295.8435207824 68.8405797101449
18 80684.5965770171 68.8405797101449
18 83740.8312958435 73.3927907840951
18 124694.376528117 258.547008547009
35 66014.6699266504 108.231140839836
25 174816.62591687 216.555183946488
25 120904.645476773 114.083983649201
25 120232.273838631 114.083983649201
25 120839.853300734 114.083983649201
25 120904.645476773 114.083983649201
25 123854.523227384 114.083983649201
18 152811.73594132 141.211445559272
25 76405.8679706602 133.779264214047
25 112469.437652812 92.9951690821256
45 146699.266503667 133.593459680416
35 28117.3594132029 88.8145670754366
63 27694.3765281174 100.334448160535
45 116136.919315403 162.114455592716
45 79339.8533007335 90.2081010776663
45 91687.0415647922 121.051653660349
35 83129.5843520783 147.714604236343
45 28117.3594132029 86.6778149386845
63 49023.2273838631 78.9669267930138
25 113691.931540342 216.648086213304
35 71515.8924205379 145.113340765515
18 126528.117359413 134.894091415831
25 125385.085574572 268.487551096247
18 119682.151589242 224.730583426236
18 121026.894865526 167.967298402081
35 100244.498777506 129.691564474173
5 209657.701711491 205.871423262728
18 166136.919315403 132.385730211817
25 97800.7334963325 212.839093273876
5 166259.168704157 188.034188034188
2 204767.726161369 237.829803047194
5 163814.180929095 208.658491267187
63 330073.349633252 540.133779264214
63 385085.574572127 356.280193236715
13 253056.234718826 266.629505759941
63 241442.542787286 290.598290598291
45 409535.452322738 284.280936454849
63 267726.161369193 271.088814567075
45 232151.589242054 179.858788554441
45 97677.2616136919 242.47491638796
45 150855.745721271 227.238944630249
45 150366.748166259 240.616871051654
45 159535.452322738 270.345596432553
45 156479.217603912 121.144555927165
35 83129.5843520783 124.674842066146
35 75794.6210268949 101.263470828688
45 151589.24205379 277.684875510962
45 61124.6943765281 203.548866592345
45 109902.200488998 129.412857673727
45 152811.73594132 177.629134150873
45 179706.601466993 197.51021924935
45 300733.496332518 247.677443329617
35 92909.5354523227 119.472315124489
25 165036.674816626 198.346339650687
35 103911.980440098 130.063173541434
35 152689.486552567 211.073950204385
35 120904.645476773 181.716833890747
35 146699.266503667 152.73132664437
35 163814.180929095 250.092902266815
25 141191.931540342 251.486436269045
45 100122.249388753 130.434782608696
35 41564.7921760391 103.21441843181
35 111858.190709046 141.118543292456
25 133496.332518337 195.094760312152
35 51344.7432762836 127.276105536975
35 134474.327628362 168.989223337049
35 173594.13202934 236.436269044965
25 97677.2616136919 140.375325157934
25 164914.425427873 223.244147157191
25 158924.205378973 229.282794500186
25 152811.73594132 219.899665551839
25 132029.339853301 228.632478632479
25 162591.687041565 231.884057971014
25 154034.229828851 213.768115942029
25 149022.004889976 204.384986993683
25 141809.290953545 227.889260497956
25 165036.674816626 267.186919360832
25 183374.083129584 234.392419175028
25 166748.166259169 235.414344109996
25 119193.15403423 166.295057599405
25 172371.638141809 251.114827201784
18 226161.369193154 231.791155704199
35 155256.723716381 186.640654031958
25 354523.227383863 262.356001486436
25 116992.665036675 137.959866220736
25 171026.894865526 303.418803418803
25 119193.15403423 126.161278335191
25 111124.694376528 124.21033073207
25 88630.8068459658 131.085098476403
25 168092.909535452 182.552954292085
18 141809.290953545 171.218877740617
13 148533.007334963 176.235600148644
18 183251.833740831 230.955035302861
18 121026.894865526 136.28762541806
18 122249.388753056 134.986993682646
18 254278.728606357 293.292456335935
18 158924.205378973 120.401337792642
25 125305.623471883 167.224080267559
18 232273.838630807 303.232998885173
18 145965.770171149 185.432924563359
13 259779.951100245 320.791527313266
13 321515.892420538 342.066146413973
13 152811.73594132 174.563359345968
13 152811.73594132 192.400594574508
13 252444.987775061 198.067632850242
8 143643.031784841 183.853586027499
8 213936.430317848 229.375696767001
8 235330.073349633 249.070977331847
8 136797.06601467 150.037160906726
8 317848.410757946 283.537718320327
8 116136.919315403 216.648086213304
8 229828.850855746 290.319583797845
8 169804.400977995 193.515421776291
8 199266.503667482 205.03530286139
8 140586.797066015 186.454849498328
8 174694.376528117 185.340022296544
8 205990.2200489 204.477889260498
8 178484.107579462 197.69602378298
8 129584.35207824 171.218877740617
8 152078.239608802 171.683389074693
