obs,D2008JD,PCRUDO,PGASOL,time
2000-01-01,0,226.18,29.2,1
2000-01-08,0,229.43,31.4,2
2000-01-15,0,263.68,26.6,3
2000-01-22,0,256.43,30.9,4
2000-01-29,0,253.18,32.1,5
2000-02-05,0,255.43,30.2,6
2000-02-12,0,267.68,32.1,7
2000-02-19,0,265.68,35.8,8
2000-02-26,0,271.18,33.8,9
2000-03-04,0,303.68,38.6,10
2000-03-11,0,289.18,39,11
2000-03-18,0,261.18,40.2,12
2000-03-25,0,243.43,38.9,13
2000-04-01,0,242.43,36.5,14
2000-04-08,0,215.43,38.9,15
2000-04-15,0,225.43,35.7,16
2000-04-22,0,223.93,32.9,17
2000-04-29,0,238.18,36.4,18
2000-05-06,0,261.18,37.1,19
2000-05-13,0,273.43,38.3,20
2000-05-20,0,273.18,39.3,21
2000-05-27,0,281.18,39.5,22
2000-06-03,0,272.93,38.4,23
2000-06-10,0,292.93,39,24
2000-06-17,0,283.68,39.9,25
2000-06-24,0,302.68,41,26
2000-07-01,0,321.43,42.7,27
2000-07-08,0,266.18,45.3,28
2000-07-15,0,283.68,45,29
2000-07-22,0,253.43,43.9,30
2000-07-29,0,254.68,41.9,31
2000-08-05,0,263.93,41.9,32
2000-08-12,0,290.43,44,33
2000-08-19,0,287.68,45.6,34
2000-08-26,0,309.18,43.2,35
2000-09-02,0,310.43,43,36
2000-09-09,0,318.18,42.7,37
2000-09-16,0,342.43,44.5,38
2000-09-23,0,301.93,48.6,39
2000-09-30,0,302.68,47.8,40
2000-10-07,0,318.18,44.3,41
2000-10-14,0,324.43,41.5,42
2000-10-21,0,319.68,45.5,43
2000-10-28,0,318.68,42.4,44
2000-11-04,0,313.22,45.9,45
2000-11-11,0,340.68,45.6,46
2000-11-18,0,343.18,40.3,47
2000-11-25,0,316.68,42.2,48
2000-12-02,0,285.93,39.1,49
2000-12-09,0,275.68,41.9,50
2000-12-16,0,273.93,42.7,51
2000-12-23,0,246.18,42.1,52
2000-12-30,0,252.43,39.6,53
2001-01-06,0,255.93,38.1,54
2001-01-13,0,280.43,37,55
2001-01-20,0,289.18,38.1,56
2001-01-27,0,273.93,34.6,57
2001-02-03,0,283.43,38,58
2001-02-10,0,290.18,38,59
2001-02-17,0,275.18,38.1,60
2001-02-24,0,260.68,36.5,61
2001-03-03,0,266.68,39.7,62
2001-03-10,0,262.18,38.9,63
2001-03-17,0,250.43,32.2,64
2001-03-24,0,264.18,36.1,65
2001-03-31,0,249.18,34.5,66
2001-04-07,0,267.18,37.3,67
2001-04-14,0,269.18,36.1,68
2001-04-21,0,254.18,45.9,69
2001-04-28,0,266.43,32.7,70
2001-05-05,0,259.43,40.6,71
2001-05-12,0,270.68,45.4,72
2001-05-19,0,280.43,48,73
2001-05-26,0,271.68,46.5,74
2001-06-02,0,264.93,48.1,75
2001-06-09,0,275.68,44.5,76
2001-06-16,0,268.68,41.3,77
2001-06-23,0,270.18,41.5,78
2001-06-30,0,249.68,40.7,79
2001-07-07,0,266.43,36.1,80
2001-07-14,0,251.43,35.1,81
2001-07-21,0,248.43,36.1,82
2001-07-28,0,247.68,35.3,83
2001-08-04,0,262.68,35.8,84
2001-08-11,0,267.68,35.1,85
2001-08-18,0,264.43,36.1,86
2001-08-25,0,260.68,48.5,87
2001-09-01,0,261.68,36.3,88
2001-09-08,0,269.43,50.6,89
2001-09-15,0,268.18,43.5,90
2001-09-22,0,188.68,43.9,91
2001-09-29,0,223.43,41.5,92
2001-10-06,0,215.68,42.2,93
2001-10-13,0,213.43,35.4,94
2001-10-20,0,205.43,34.9,95
2001-10-27,0,208.43,34.9,96
2001-11-03,0,193.43,35.6,97
2001-11-10,0,207.18,35.2,98
2001-11-17,0,187.43,32,99
2001-11-24,0,187.93,31,100
2001-12-01,0,190.43,28.6,101
2001-12-08,0,173.18,25.3,102
2001-12-15,0,180.43,27,103
2001-12-22,0,191.18,27.4,104
2001-12-29,0,198.18,26.3,105
2002-01-05,0,207.68,30.6,106
2002-01-12,0,181.68,26.3,107
2002-01-19,0,178.93,27.4,108
2002-01-26,0,197.43,27.1,109
2002-02-02,0,196.18,28.2,110
2002-02-09,0,207.68,26.3,111
2002-02-16,0,205.93,28.3,112
2002-02-23,0,213.43,23.8,113
2002-03-02,0,225.18,27.3,114
2002-03-09,0,236.93,28.4,115
2002-03-16,0,247.43,35,116
2002-03-23,0,246.18,39.5,117
2002-03-30,0,270.68,33.2,118
2002-04-06,0,254.43,37.1,119
2002-04-13,0,241.43,39.8,120
2002-04-20,0,255.43,36.8,121
2002-04-27,0,264.68,35,122
2002-05-04,0,255.43,42.6,123
2002-05-11,0,281.18,40.8,124
2002-05-18,0,257.68,39,125
2002-05-25,0,239.93,44.5,126
2002-06-01,0,238.43,43,127
2002-06-08,0,232.93,43.9,128
2002-06-15,0,248.18,46.7,129
2002-06-22,0,249.68,45.8,130
2002-06-29,0,255.93,36.6,131
2002-07-06,0,248.43,43.7,132
2002-07-13,0,266.93,39.7,133
2002-07-20,0,259.93,46.7,134
2002-07-27,0,270.68,46.7,135
2002-08-03,0,269.43,38.2,136
