"HomeTeam","AwayTeam","FTHG","FTAG","FTR","B365H","B365D","B365A","BWH","BWD","BWA","PSH","PSD","PSA","WHH","WHD","WHA","MaxH","MaxD","MaxA"
"Almeria","Vallecano",0,2,"A",2.45,3.3,2.9,2.5,3.2,2.87,2.62,3.3,2.96,2.4,3,2.7,2.63,3.44,3.04
"Sevilla","Valencia",1,2,"A",1.91,3.5,4.2,1.93,3.3,4.2,1.95,3.47,4.48,1.8,3.1,4,1.98,3.54,4.5
"Sociedad","Girona",1,1,"D",1.62,4,5.25,1.6,3.9,5.75,1.65,4.05,5.66,1.5,3.6,5.5,1.68,4.14,6
"Las Palmas","Mallorca",1,1,"D",2.4,3,3.3,2.4,3,3.2,2.45,3.02,3.46,2.3,2.8,3,2.5,3.15,3.47
"Ath Bilbao","Real Madrid",0,2,"A",3.3,3.5,2.15,3.4,3.5,2.05,3.43,3.58,2.19,3.2,3.2,2,3.6,3.65,2.22
"Celta","Osasuna",0,2,"A",2.05,3.2,3.9,2.05,3.25,3.7,2.15,3.19,3.99,2,3,3.4,2.2,3.44,3.99
"Villarreal","Betis",1,2,"A",1.75,4,4.2,1.73,3.9,4.5,1.81,3.98,4.43,1.62,3.7,4.2,1.83,4.1,4.7
"Getafe","Barcelona",0,0,"D",6.5,3.8,1.57,6,4,1.57,6.69,4.04,1.57,5.8,3.7,1.44,6.7,4.2,1.61
"Cadiz","Alaves",1,0,"H",2.2,3,3.75,2.15,3.1,3.8,2.25,3.08,3.86,2,2.88,3.6,2.26,3.23,4
"Ath Madrid","Granada",3,1,"H",1.3,5.5,9.5,1.3,5.5,10.5,1.31,5.76,10.3,1.22,4.8,9.5,1.33,6,11.2
"Mallorca","Villarreal",0,1,"A",2.8,3.2,2.6,2.87,3.1,2.55,3.04,3.13,2.68,2.75,2.88,2.45,3.1,3.25,2.71
"Valencia","Las Palmas",1,0,"H",1.57,3.9,6,1.58,3.9,6,1.61,4.02,6.49,1.53,3.5,5.5,1.65,4.1,6.6
"Sociedad","Celta",1,1,"D",1.73,3.4,5.5,1.75,3.5,5,1.76,3.54,5.57,1.67,3.25,4.5,1.83,3.64,5.6
"Almeria","Real Madrid",1,3,"A",8,4.75,1.4,7.75,4.8,1.39,8.15,5.11,1.4,7.5,4.4,1.3,8.5,5.3,1.43
"Osasuna","Ath Bilbao",0,2,"A",2.9,3,2.63,2.75,3.1,2.65,2.89,3.1,2.79,2.6,2.9,2.5,2.95,3.29,2.8
"Girona","Getafe",3,0,"H",2.05,3.1,4,2.05,3.1,4,2.06,3.22,4.31,2,2.9,3.6,2.1,3.37,4.4
"Barcelona","Cadiz",2,0,"H",1.2,7,13,1.21,6.5,14.5,1.21,6.9,14.96,1.17,5.8,11,1.25,7.5,17
"Betis","Ath Madrid",0,0,"D",3.8,3.4,2,3.8,3.4,2,3.93,3.57,2.02,3.5,3.2,1.91,4,3.68,2.08
"Alaves","Sevilla",4,3,"H",3.3,3.1,2.35,3.25,3,2.37,3.45,3.1,2.41,3.1,2.8,2.25,3.55,3.23,2.45
"Granada","Vallecano",0,2,"A",2.75,3,2.8,2.6,3.1,2.85,2.68,3.09,3.03,2.45,2.88,2.7,2.75,3.26,3.1
"Cadiz","Villarreal",3,1,"H",3.4,3.4,2.15,3.3,3.5,2.15,3.43,3.59,2.21,2.88,3.25,2.1,3.5,3.72,2.21
"Almeria","Celta",2,3,"A",2.8,3.4,2.5,2.87,3.25,2.45,3.04,3.33,2.55,2.75,3.1,2.3,3.09,3.42,2.6
"Sociedad","Granada",5,3,"H",1.44,4.5,7,1.44,4.6,7.25,1.47,4.63,7.49,1.33,4.2,7,1.5,4.8,7.5
"Real Madrid","Getafe",2,1,"H",1.33,5.25,9.5,1.31,5.25,10,1.34,5.13,10.76,1.2,5,11,1.36,5.4,11.5
"Alaves","Valencia",1,0,"H",2.9,2.88,2.75,2.9,3,2.65,2.96,2.99,2.82,2.8,2.7,2.5,3.04,3,2.85
"Betis","Vallecano",1,0,"H",1.95,3.4,4,1.95,3.5,3.9,1.98,3.55,4.14,1.8,3.3,3.7,2.05,3.64,4.25
"Girona","Las Palmas",1,0,"H",1.67,3.8,5.25,1.66,3.8,5.25,1.69,3.83,5.59,1.57,3.3,5.5,1.72,4,5.6
"Mallorca","Ath Bilbao",0,0,"D",3.3,3,2.38,3.1,3.1,2.4,3.3,3.11,2.49,2.9,2.88,2.3,3.4,3.21,2.49
"Osasuna","Barcelona",1,2,"A",5.25,4,1.65,5,4,1.65,5.37,4.17,1.65,4.4,3.6,1.62,5.4,4.33,1.7
"Vallecano","Alaves",2,0,"H",2,3.25,4,1.98,3.1,4.33,2.03,3.23,4.52,1.85,2.9,4.2,2.06,3.35,4.6
"Ath Bilbao","Cadiz",3,0,"H",1.53,4,7,1.55,4,6.25,1.56,4.17,6.66,1.44,3.7,6.5,1.59,4.33,7
"Valencia","Ath Madrid",3,0,"H",3.8,3.3,2.05,3.7,3.4,2.05,3.93,3.41,2.08,3.6,3.1,1.91,4.04,3.5,2.13
"Celta","Mallorca",0,1,"A",2,3.1,4.33,2,3.1,4.1,2.08,3.13,4.4,1.95,2.88,3.75,2.11,3.25,4.5
"Barcelona","Betis",5,0,"H",1.36,5.25,7.5,1.39,5,7.25,1.38,5.4,8.04,1.3,4.6,7,1.4,5.6,8.5
"Getafe","Osasuna",3,2,"H",2.63,3,3,2.6,2.9,3.1,2.65,2.93,3.24,2.4,2.7,3,2.68,3.09,3.26
"Villarreal","Almeria",2,1,"H",1.44,4.5,7,1.47,4.75,6,1.48,4.98,6.38,1.4,4.33,5.5,1.53,5.1,7
"Sevilla","Las Palmas",1,0,"H",1.62,4,5.5,1.63,3.9,5.25,1.64,3.93,5.99,1.53,3.5,5.5,1.68,4.08,6
"Real Madrid","Sociedad",2,1,"H",1.65,4,5,1.63,4,5.25,1.69,3.97,5.31,1.53,3.75,4.75,1.73,4.2,5.5
"Granada","Girona",2,4,"A",2.63,3.5,2.6,2.65,3.3,2.6,2.78,3.44,2.65,2.6,3.1,2.4,2.8,3.52,2.7
"Alaves","Ath Bilbao",0,2,"A",4.2,3,2.05,3.9,3.1,2.1,4.27,3.16,2.12,3.7,2.9,1.95,4.33,3.24,2.15
"Girona","Mallorca",5,3,"H",1.85,3.5,4.2,1.88,3.4,4.2,1.94,3.39,4.54,1.85,3.1,3.9,1.98,3.5,4.8
"Osasuna","Sevilla",0,0,"D",2.6,3.1,2.88,2.5,3.25,2.87,2.62,3.22,2.99,2.3,3,2.8,2.64,3.36,3.2
"Barcelona","Celta",3,2,"H",1.29,6,9,1.29,5.75,9.5,1.29,6.04,10.38,1.2,5.5,9.5,1.32,6.41,11.3
"Almeria","Valencia",2,2,"D",3,3.6,2.3,3,3.4,2.3,3.11,3.53,2.36,2.8,3.1,2.25,3.19,3.62,2.41
"Sociedad","Getafe",4,3,"H",1.53,3.8,7,1.55,3.7,7,1.56,3.82,7.76,1.44,3.4,6.5,1.62,3.98,8.3
"Vallecano","Villarreal",1,1,"D",2.5,3.5,2.63,2.5,3.5,2.65,2.56,3.54,2.83,2.3,3.25,2.6,2.6,3.73,2.83
"Betis","Cadiz",1,1,"D",1.8,3.5,4.5,1.83,3.5,4.4,1.86,3.62,4.64,1.7,3.4,4.2,1.9,3.73,4.64
"Las Palmas","Granada",1,0,"H",1.95,3.5,3.6,2,3.4,3.7,2.05,3.56,3.87,1.91,3.1,3.6,2.08,3.64,3.95
"Ath Madrid","Real Madrid",3,1,"H",2.7,3.4,2.55,2.75,3.3,2.5,2.88,3.37,2.61,2.7,3,2.4,3.02,3.5,2.63
"Sevilla","Almeria",5,1,"H",1.67,3.8,5,1.66,4,4.8,1.7,4.1,5.09,1.44,3.9,5.5,1.75,4.22,5.75
"Mallorca","Barcelona",2,2,"D",7.5,4.2,1.5,6.75,4.2,1.49,6.98,4.53,1.51,6,4,1.4,7.5,4.68,1.55
"Ath Bilbao","Getafe",2,2,"D",1.62,3.6,6.5,1.6,3.8,6,1.64,3.76,6.51,1.5,3.4,6,1.71,3.85,6.51
"Real Madrid","Las Palmas",2,0,"H",1.2,7,11,1.21,6.75,13.5,1.21,7.24,13.67,1.18,5.5,10,1.24,7.5,15
"Villarreal","Girona",1,2,"A",2.25,3.5,3.1,2.25,3.7,2.9,2.22,3.72,3.23,2.15,3.4,2.75,2.32,3.8,3.3
"Cadiz","Vallecano",0,0,"D",2.5,3.2,2.88,2.5,3.1,2.95,2.64,3.17,3,2.3,3,2.8,2.66,3.31,3.02
"Valencia","Sociedad",0,1,"A",2.63,3.1,2.8,2.55,3.1,2.87,2.68,3.18,2.94,2.45,2.9,2.7,2.76,3.3,2.96
